date,n_total,n_tanker
2021-03-15,86,50
2021-03-16,90,54
2021-03-17,71,43
2021-03-18,76,50
2021-03-19,83,50
2021-03-20,76,39
2021-03-21,71,46
2021-03-22,68,46
2021-03-23,90,45
2021-03-24,90,57
2021-03-25,87,55
2021-03-26,58,37
2021-03-27,83,53
2021-03-28,73,46
2021-03-29,79,48
2021-03-30,96,59
2021-03-31,92,53
2021-04-01,104,57
2021-04-02,82,52
2021-04-03,105,67
2021-04-04,89,58
2021-04-05,76,54
2021-04-06,62,29
2021-04-07,110,71
2021-04-08,100,66
2021-04-09,118,71
2021-04-10,92,56
2021-04-11,84,53
2021-04-12,74,43
2021-04-13,76,48
2021-04-14,60,38
2021-04-15,85,48
2021-04-16,96,60
2021-04-17,94,60
2021-04-18,89,50
2021-04-19,90,53
2021-04-20,101,63
2021-04-21,102,57
2021-04-22,101,59
2021-04-23,89,53
2021-04-24,106,59
2021-04-25,78,46
2021-04-26,74,47
2021-04-27,82,46
2021-04-28,83,51
2021-04-29,68,41
2021-04-30,75,38
2021-05-01,67,31
2021-05-02,82,56
2021-05-03,84,62
2021-05-04,80,44
2021-05-05,63,42
2021-05-06,90,57
2021-05-07,98,60
2021-05-08,97,62
2021-05-09,76,52
2021-05-10,90,49
2021-05-11,101,57
2021-05-12,102,57
2021-05-13,101,70
2021-05-14,88,56
2021-05-15,60,46
2021-05-16,79,43
2021-05-17,81,44
2021-05-18,81,54
2021-05-19,85,51
2021-05-20,83,50
2021-05-21,90,50
2021-05-22,89,57
2021-05-23,80,55
2021-05-24,91,56
2021-05-25,77,47
2021-05-26,80,52
2021-05-27,89,57
2021-05-28,81,43
2021-05-29,96,60
2021-05-30,86,60
2021-05-31,91,54
2021-06-01,103,60
2021-06-02,86,58
2021-06-03,95,62
2021-06-04,97,56
2021-06-05,99,59
2021-06-06,86,45
2021-06-07,86,61
2021-06-08,84,59
2021-06-09,91,51
2021-06-10,94,46
2021-06-11,97,62
2021-06-12,94,49
2021-06-13,91,60
2021-06-14,84,48
2021-06-15,86,50
2021-06-16,101,58
2021-06-17,87,57
2021-06-18,100,72
2021-06-19,85,51
2021-06-20,87,51
2021-06-21,87,60
2021-06-22,95,61
2021-06-23,98,58
2021-06-24,85,53
2021-06-25,106,68
2021-06-26,82,48
2021-06-27,77,52
2021-06-28,96,63
2021-06-29,84,50
2021-06-30,87,55
2021-07-01,98,57
2021-07-02,92,60
2021-07-03,88,49
2021-07-04,80,48
2021-07-05,92,57
2021-07-06,79,47
2021-07-07,109,65
2021-07-08,80,49
2021-07-09,99,58
2021-07-10,81,54
2021-07-11,81,61
2021-07-12,85,55
2021-07-13,79,45
2021-07-14,92,61
2021-07-15,78,42
2021-07-16,78,47
2021-07-17,84,60
2021-07-18,75,52
2021-07-19,95,60
2021-07-20,93,63
2021-07-21,85,57
2021-07-22,81,50
2021-07-23,101,68
2021-07-24,82,42
2021-07-25,78,54
2021-07-26,95,57
2021-07-27,102,66
2021-07-28,98,68
2021-07-29,77,47
2021-07-30,93,55
2021-07-31,83,59
2021-08-01,84,47
2021-08-02,84,56
2021-08-03,93,54
2021-08-04,100,67
2021-08-05,91,54
2021-08-06,100,61
2021-08-07,86,52
2021-08-08,86,57
2021-08-09,90,52
2021-08-10,82,52
2021-08-11,71,40
2021-08-12,87,50
2021-08-13,95,56
2021-08-14,94,55
2021-08-15,82,50
2021-08-16,71,43
2021-08-17,68,47
2021-08-18,58,39
2021-08-19,78,43
2021-08-20,77,56
2021-08-21,105,65
2021-08-22,78,46
2021-08-23,88,54
2021-08-24,85,50
2021-08-25,72,43
2021-08-26,99,64
2021-08-27,102,64
2021-08-28,85,50
2021-08-29,86,50
2021-08-30,88,56
2021-08-31,90,57
2021-09-01,83,49
2021-09-02,95,62
2021-09-03,92,48
2021-09-04,78,53
2021-09-05,75,54
2021-09-06,79,43
2021-09-07,79,51
2021-09-08,90,55
2021-09-09,100,66
2021-09-10,82,51
2021-09-11,75,43
2021-09-12,79,51
2021-09-13,76,51
2021-09-14,95,54
2021-09-15,96,59
2021-09-16,111,66
2021-09-17,88,53
2021-09-18,109,68
2021-09-19,84,58
2021-09-20,84,56
2021-09-21,83,51
2021-09-22,87,48
2021-09-23,74,49
2021-09-24,106,64
2021-09-25,112,71
2021-09-26,84,57
2021-09-27,80,47
2021-09-28,91,59
2021-09-29,100,52
2021-09-30,100,62
2021-10-01,94,57
2021-10-02,81,55
2021-10-03,68,49
2021-10-04,81,49
2021-10-05,92,50
2021-10-06,102,61
2021-10-07,85,48
2021-10-08,111,76
2021-10-09,99,66
2021-10-10,94,52
2021-10-11,49,32
2021-10-12,76,46
2021-10-13,86,46
2021-10-14,97,63
2021-10-15,101,70
2021-10-16,92,59
2021-10-17,83,49
2021-10-18,88,62
2021-10-19,77,46
2021-10-20,103,60
2021-10-21,86,56
2021-10-22,72,50
2021-10-23,90,49
2021-10-24,94,60
2021-10-25,77,45
2021-10-26,73,44
2021-10-27,69,47
2021-10-28,65,40
2021-10-29,82,43
2021-10-30,87,53
2021-10-31,81,53
2021-11-01,101,69
2021-11-02,81,46
2021-11-03,97,57
2021-11-04,71,51
2021-11-05,83,51
2021-11-06,69,44
2021-11-07,65,39
2021-11-08,61,40
2021-11-09,94,53
2021-11-10,90,51
2021-11-11,103,66
2021-11-12,66,37
2021-11-13,88,51
2021-11-14,91,57
2021-11-15,83,52
2021-11-16,93,61
2021-11-17,90,62
2021-11-18,75,34
2021-11-19,89,56
2021-11-20,91,62
2021-11-21,94,57
2021-11-22,100,61
2021-11-23,106,64
2021-11-24,90,52
2021-11-25,102,62
2021-11-26,104,63
2021-11-27,99,52
2021-11-28,72,46
2021-11-29,101,57
2021-11-30,77,42
2021-12-01,101,65
2021-12-02,83,49
2021-12-03,95,71
2021-12-04,80,54
2021-12-05,81,49
2021-12-06,84,51
2021-12-07,99,75
2021-12-08,89,54
2021-12-09,92,57
2021-12-10,91,58
2021-12-11,84,53
2021-12-12,88,58
2021-12-13,81,52
2021-12-14,95,61
2021-12-15,96,62
2021-12-16,70,43
2021-12-17,87,51
2021-12-18,98,57
2021-12-19,99,62
2021-12-20,77,51
2021-12-21,76,49
2021-12-22,90,51
2021-12-23,88,54
2021-12-24,109,72
2021-12-25,106,63
2021-12-26,88,51
2021-12-27,76,53
2021-12-28,77,47
2021-12-29,98,55
2021-12-30,87,58
2021-12-31,88,57
2022-01-01,78,48
2022-01-02,81,55
2022-01-03,74,49
2022-01-04,86,57
2022-01-05,88,53
2022-01-06,85,49
2022-01-07,71,45
2022-01-08,93,52
2022-01-09,92,68
2022-01-10,95,57
2022-01-11,83,52
2022-01-12,94,52
2022-01-13,78,59
2022-01-14,91,55
2022-01-15,80,51
2022-01-16,94,57
2022-01-17,84,58
2022-01-18,93,62
2022-01-19,87,50
2022-01-20,85,55
2022-01-21,72,51
2022-01-22,67,39
2022-01-23,81,45
2022-01-24,87,55
2022-01-25,104,69
2022-01-26,101,63
2022-01-27,97,66
2022-01-28,90,56
2022-01-29,103,69
2022-01-30,96,56
2022-01-31,87,53
2022-02-01,97,53
2022-02-02,93,56
2022-02-03,106,71
2022-02-04,100,62
2022-02-05,102,62
2022-02-06,81,54
2022-02-07,73,48
2022-02-08,108,59
2022-02-09,104,63
2022-02-10,95,54
2022-02-11,111,66
2022-02-12,95,60
2022-02-13,95,51
2022-02-14,81,57
2022-02-15,93,57
2022-02-16,104,54
2022-02-17,93,58
2022-02-18,97,60
2022-02-19,109,56
2022-02-20,95,69
2022-02-21,88,64
2022-02-22,82,59
2022-02-23,103,65
2022-02-24,96,51
2022-02-25,114,75
2022-02-26,90,59
2022-02-27,98,61
2022-02-28,90,55
2022-03-01,82,47
2022-03-02,90,60
2022-03-03,102,69
2022-03-04,99,64
2022-03-05,91,57
2022-03-06,102,60
2022-03-07,82,50
2022-03-08,100,66
2022-03-09,87,52
2022-03-10,106,66
2022-03-11,102,62
2022-03-12,102,52
2022-03-13,111,75
2022-03-14,109,64
2022-03-15,96,55
2022-03-16,111,71
2022-03-17,78,42
2022-03-18,55,36
2022-03-19,86,53
2022-03-20,88,58
2022-03-21,103,63
2022-03-22,105,64
2022-03-23,110,71
2022-03-24,124,80
2022-03-25,107,62
2022-03-26,100,65
2022-03-27,91,58
2022-03-28,78,51
2022-03-29,77,44
2022-03-30,76,38
2022-03-31,105,69
2022-04-01,116,73
2022-04-02,114,68
2022-04-03,101,71
2022-04-04,99,66
2022-04-05,109,61
2022-04-06,112,69
2022-04-07,100,69
2022-04-08,87,51
2022-04-09,109,62
2022-04-10,102,56
2022-04-11,92,61
2022-04-12,103,66
2022-04-13,104,57
2022-04-14,99,62
2022-04-15,97,71
2022-04-16,88,54
2022-04-17,100,69
2022-04-18,101,61
2022-04-19,94,58
2022-04-20,98,65
2022-04-21,96,51
2022-04-22,108,69
2022-04-23,116,71
2022-04-24,93,51
2022-04-25,95,58
2022-04-26,116,77
2022-04-27,101,61
2022-04-28,102,60
2022-04-29,101,66
2022-04-30,82,49
2022-05-01,91,59
2022-05-02,99,62
2022-05-03,100,66
2022-05-04,99,58
2022-05-05,101,67
2022-05-06,114,64
2022-05-07,107,59
2022-05-08,102,58
2022-05-09,100,67
2022-05-10,86,48
2022-05-11,108,66
2022-05-12,97,62
2022-05-13,69,42
2022-05-14,86,52
2022-05-15,72,48
2022-05-16,92,55
2022-05-17,109,65
2022-05-18,94,62
2022-05-19,105,60
2022-05-20,98,62
2022-05-21,100,58
2022-05-22,90,68
2022-05-23,87,62
2022-05-24,93,58
2022-05-25,86,45
2022-05-26,89,63
2022-05-27,106,69
2022-05-28,97,67
2022-05-29,104,62
2022-05-30,104,69
2022-05-31,88,60
2022-06-01,103,64
2022-06-02,112,70
2022-06-03,98,60
2022-06-04,84,49
2022-06-05,98,63
2022-06-06,97,67
2022-06-07,108,66
2022-06-08,118,63
2022-06-09,83,60
2022-06-10,112,72
2022-06-11,92,57
2022-06-12,94,63
2022-06-13,67,42
2022-06-14,116,73
2022-06-15,99,65
2022-06-16,112,69
2022-06-17,95,60
2022-06-18,85,53
2022-06-19,104,73
2022-06-20,103,60
